"p_ix","prolific_id","condition","gender","age","ins_time","tut_time","trial_time","total_time","comprehension_score","tutorial_tries","tutorial_keys","c1t1","c1t2","c1t3","c2t1","c2t2","c2t3","test1","test2","test3","test4","test5","c1t1_tries","c1t2_tries","c1t3_tries","c2t1_tries","c2t2_tries","c2t3_tries","test1_tries","test2_tries","test3_tries","test4_tries","test5_tries","total","m_steps","m_steps_successes","m_steps_failures","n_add","n_delete","n_corner","n_bar","n_move","n_rotate","n_flip","n_reflect","comments","bonus","test_rr1","test_rr2","test_f1","test_f2","test_both"
55,"6146fb92e89e10d7aa8662a2","train_reflect","Female","50",5.84,4.08,28.08,38.01,4,"1,1,1,1,1,1,1,1,4","2,6,2,2,4,3,5,3,42",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,0,0,0,5,5,5,5,5,0,16.25,NA,16.25,79,63,45,34,341,16,16,20,"Ridicules and very frustrating  Didnt enjoy at all and just wanted to finish it and get it over with",0,FALSE,FALSE,FALSE,FALSE,FALSE
56,"6775d2dc10021f9d74ab65aa","train_flower","Female","31",5.82,1.66,31.11,38.59,5,"1,1,1,1,1,1,1,1,1","2,4,2,2,4,3,5,3,5",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,2,6,5,5,5,3,5,1,3,20.6875,17.6666666666667,21,63,25,40,29,192,60,26,200,"I enjoyed the task but found it frustrating at the same time I was pleased when I solved some but did find it very hard generally",0.6,TRUE,FALSE,FALSE,FALSE,TRUE
57,"63c0b8e25159ad47312132ac","train_reflect","Male","52",13.52,12.95,44.77,71.24,5,"2,4,1,1,2,4,3,1,8","4,13,2,2,7,10,12,3,53",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,5,5,4,0,0,0,1,5,3,1,1,5,20.4,15.8,21.55,41,35,19,24,194,101,34,47,"It was interesting",1,TRUE,FALSE,TRUE,TRUE,TRUE
58,"6765e63b9cbc0ec185d7e8fa","train_reflect","Male","45",36.09,19.21,29.89,85.19,2,"2,17,2,1,3,2,1,1,6","4,189,20,2,38,5,5,3,141",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,0,0,0,5,5,5,5,5,0,30,NA,30,301,125,13,23,625,55,52,5,"it was different and difficult ",0,FALSE,FALSE,FALSE,FALSE,FALSE
59,"5dd671942b033b5ec8bc97b4","train_reflect","Male","26",10.18,1.68,25.66,37.53,3,"1,1,1,1,1,1,1,1,1","2,25,2,2,24,3,5,3,8",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,5,6,0,0,0,5,5,4,2,1,4,14.6333333333333,15.75,14.4615384615385,29,36,34,40,153,23,12,82,"I found puzzles 25 tremendously difficult for some reason I really could not put my finger on it maybe I was not feeling as confident Thank you",0.8,FALSE,FALSE,TRUE,TRUE,TRUE
60,"5befe87caf38d100016bb45c","train_flower","Female","47",13.13,4.3,46.32,63.75,5,"1,1,1,1,1,1,1,2,3","2,7,2,2,8,3,5,32,23",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,5,5,3,5,5,7,5,5,1,12,30,11.5384615384615,28,9,47,5,165,14,61,112,"I found it difficult",0.2,FALSE,FALSE,FALSE,FALSE,FALSE
61,"67dda0e71db471d2d21376a9","train_reflect","Female","42",22.43,1.57,64.75,88.74,5,"2,3,1,1,3,1,1,1,2","4,10,2,2,32,3,5,3,12",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,1,1,0,0,0,5,5,1,2,1,6,23.1111111111111,17.1666666666667,26.0833333333333,25,25,17,13,166,80,29,50,"It was very challenging but fun",1.2,FALSE,FALSE,TRUE,TRUE,TRUE
62,"60aa79fa99f7d53701b02256","train_reflect","Female","30",10.89,1.24,48.18,60.3,4,"1,1,2,1,1,1,2,1,1","2,16,34,3,7,4,36,4,5",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,5,5,0,0,0,5,5,3,5,5,1,29.8684210526316,25,30,57,134,72,67,740,45,11,8,"fun but also frustrating not solving",0.2,FALSE,FALSE,TRUE,FALSE,FALSE
63,"5f639c21192b540a86e6e559","train_flower","Female","41",18.77,6.91,83.05,108.73,4,"2,1,1,1,8,1,1,1,7","7,4,2,2,117,3,5,3,35",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,9,23,4,5,5,5,5,5,2,20.6393442622951,11,20.9661016949153,45,90,73,124,198,8,20,656,"I enjoyed the task although it was difficult Thank you",0.4,FALSE,FALSE,FALSE,FALSE,FALSE
64,"679143553bf737e54b3c9bf4","train_reflect","Female","32",9.51,9.4,35,53.92,3,"2,2,1,1,1,1,1,1,10","4,17,2,2,4,3,6,4,169",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,5,5,0,0,0,5,5,5,5,5,0,17.5454545454545,NA,17.5454545454545,115,28,36,36,289,144,50,38,"The task was very difficult versus the tutorial I felt like the tutorial was easy to follow but the task was a bit hard It was easy to add tiles move around reflect and flip tiles but the tiles all were attached to an extent of moving around everywhere and losing focus I thought that was a bit difficult in the task but I enjoyed the difficulty and moving my fingers a bit with thinking ",0,FALSE,FALSE,FALSE,FALSE,FALSE
